player,goal_involvement(goals + assists),goals,assists,minutes_played,games_played,minutes_per_goal_involvement,games_per_goal_involvement
Semi Ajayi,2.0,2.0,0.0,2780,33,1390.0,16.5
Thiago Silva,2.0,2.0,0.0,1938,23,969.0,11.5
Yerry Mina,2.0,2.0,0.0,1939,24,969.5,12.0
Adam Lallana,2.0,1.0,1.0,1590,30,795.0,15.0
Alex Oxlade-Chamberlain,2.0,1.0,1.0,245,13,122.5,6.5
Alexis Mac Allister,2.0,1.0,1.0,1115,21,557.5,10.5
Conor Hourihane,2.0,1.0,1.0,228,4,114.0,2.0
Dennis Praet,2.0,1.0,1.0,723,15,361.5,7.5
Donny van de Beek,2.0,1.0,1.0,513,19,256.5,9.5
Dwight Gayle,2.0,1.0,1.0,504,18,252.0,9.0
Gary Cahill,2.0,1.0,1.0,1800,20,900.0,10.0
Giovani Lo Celso,2.0,1.0,1.0,950,18,475.0,9.0
Jan Bednarek,2.0,1.0,1.0,3101,36,1550.5,18.0
Joachim Andersen,2.0,1.0,1.0,2730,31,1365.0,15.5
Joe Bryan,2.0,1.0,1.0,665,16,332.5,8.0
Jordan Henderson,2.0,1.0,1.0,1707,21,853.5,10.5
João Moutinho,2.0,1.0,1.0,2534,33,1267.0,16.5
Joël Veltman,2.0,1.0,1.0,2282,28,1141.0,14.0
Keinan Davis,2.0,1.0,1.0,265,15,132.5,7.5
Kyle Walker,2.0,1.0,1.0,1946,24,973.0,12.0
Luka Milivojevic,2.0,1.0,1.0,2364,31,1182.0,15.5
Manuel Lanzini,2.0,1.0,1.0,562,17,281.0,8.5
Mario Lemina,2.0,1.0,1.0,1705,28,852.5,14.0
Matthew Lowton,2.0,1.0,1.0,3060,34,1530.0,17.0
Nathan Tella,2.0,1.0,1.0,742,18,371.0,9.0
Nathaniel Phillips,2.0,1.0,1.0,1455,17,727.5,8.5
Nélson Semedo,2.0,1.0,1.0,2988,34,1494.0,17.0
Oliver Burke,2.0,1.0,1.0,1273,25,636.5,12.5
Oliver McBurnie,2.0,1.0,1.0,1319,23,659.5,11.5
Oriol Romeu,2.0,1.0,1.0,1767,21,883.5,10.5
Rayan Aït Nouri,2.0,1.0,1.0,1405,21,702.5,10.5
Robbie Brady,2.0,1.0,1.0,1055,19,527.5,9.5
Ryan Fredericks,2.0,1.0,1.0,567,14,283.5,7.0
Sander Berge,2.0,1.0,1.0,1121,15,560.5,7.5
Tom Cairney,2.0,1.0,1.0,760,10,380.0,5.0
Tyrick Mitchell,2.0,1.0,1.0,1710,19,855.0,9.5
Victor Lindelöf,2.0,1.0,1.0,2586,29,1293.0,14.5
Willian José,2.0,1.0,1.0,1115,17,557.5,8.5
Willy Boly,2.0,1.0,1.0,1880,21,940.0,10.5
Adam Webster,1.0,1.0,0.0,2595,29,2595.0,29.0
Alisson,1.0,1.0,0.0,2970,33,2970.0,33.0
Andy Carroll,1.0,1.0,0.0,383,18,383.0,18.0
Antonio Rüdiger,1.0,1.0,0.0,1710,19,1710.0,19.0
Ben Osborn,1.0,1.0,0.0,1605,24,1605.0,24.0
Caglar Söyüncü,1.0,1.0,0.0,1816,23,1816.0,23.0
Cheikhou Kouyaté,1.0,1.0,0.0,3123,36,3123.0,36.0
Ciaran Clark,1.0,1.0,0.0,1893,22,1893.0,22.0
Conor Coady,1.0,1.0,0.0,3304,37,3304.0,37.0
Dan Burn,1.0,1.0,0.0,2059,27,2059.0,27.0
David Luiz,1.0,1.0,0.0,1396,20,1396.0,20.0
Emil Krafth,1.0,1.0,0.0,1291,16,1291.0,16.0
Erik Lamela,1.0,1.0,0.0,704,23,704.0,23.0
Fabian Schär,1.0,1.0,0.0,1245,18,1245.0,18.0
Fred,1.0,1.0,0.0,2396,30,2396.0,30.0
Grady Diangana,1.0,1.0,0.0,1237,20,1237.0,20.0
James Tarkowski,1.0,1.0,0.0,3240,36,3240.0,36.0
Karlan Grant,1.0,1.0,0.0,1132,21,1132.0,21.0
Leander Dendoncker,1.0,1.0,0.0,2500,33,2500.0,33.0
Liam Cooper,1.0,1.0,0.0,2187,25,2187.0,25.0
Mason Holgate,1.0,1.0,0.0,2289,28,2289.0,28.0
Mohamed Elneny,1.0,1.0,0.0,1542,23,1542.0,23.0
Moussa Djenepo,1.0,1.0,0.0,1238,27,1238.0,27.0
Pascal Struijk,1.0,1.0,0.0,2076,27,2076.0,27.0
Ruben Loftus-Cheek,1.0,1.0,0.0,1974,31,1974.0,31.0
Rúben Dias,1.0,1.0,0.0,2845,32,2845.0,32.0
Thiago,1.0,1.0,0.0,1858,24,1858.0,24.0
Toby Alderweireld,1.0,1.0,0.0,2241,25,2241.0,25.0
Yves Bissouma,1.0,1.0,0.0,3114,36,3114.0,36.0
