match_day,date,venue,player,team,opponent,opponent_position,result,goals,assists,minutes_played
34,5/2/21,A,Luis Muriel,Atalanta BC,Sassuolo,8,1:1,,,30'
35,5/9/21,A,Luis Muriel,Atalanta BC,Parma,20,2:5,2,1,45'
36,5/12/21,H,Luis Muriel,Atalanta BC,Benevento,18,2:0,1,,66'
37,5/15/21,A,Luis Muriel,Atalanta BC,Genoa,11,3:4,,,1'
38,5/23/21,H,Luis Muriel,Atalanta BC,AC Milan,2,0:2,,,45'
1,9/19/20,H,Dusan Vlahovic,ACF Fiorentina,Torino,17,1:0,,,11'
2,9/26/20,A,Dusan Vlahovic,ACF Fiorentina,Inter,1,4:3,,,29'
3,10/2/20,H,Dusan Vlahovic,ACF Fiorentina,Sampdoria,9,1:2,1,,90'
4,10/18/20,A,Dusan Vlahovic,ACF Fiorentina,Spezia Calcio,15,2:2,,,72'
5,10/25/20,H,Dusan Vlahovic,ACF Fiorentina,Udinese Calcio,13,3:2,,,66'
6,11/1/20,A,Dusan Vlahovic,ACF Fiorentina,AS Roma,7,2:0,,,33'
8,11/22/20,H,Dusan Vlahovic,ACF Fiorentina,Benevento,18,0:1,,,90'
9,11/29/20,A,Dusan Vlahovic,ACF Fiorentina,AC Milan,2,2:0,,,77'
10,12/7/20,H,Dusan Vlahovic,ACF Fiorentina,Genoa,11,1:1,,,78'
11,12/13/20,A,Dusan Vlahovic,ACF Fiorentina,Atalanta BC,3,3:0,,,71'
12,12/16/20,H,Dusan Vlahovic,ACF Fiorentina,Sassuolo,8,1:1,1,,73'
13,12/19/20,H,Dusan Vlahovic,ACF Fiorentina,Hellas Verona,10,1:1,1,,90'
14,12/22/20,A,Dusan Vlahovic,ACF Fiorentina,Juventus,4,0:3,1,,75'
15,1/3/21,H,Dusan Vlahovic,ACF Fiorentina,Bologna,12,0:0,,,72'
16,1/6/21,A,Dusan Vlahovic,ACF Fiorentina,Lazio,6,2:1,1,,90'
17,1/10/21,H,Dusan Vlahovic,ACF Fiorentina,Cagliari Calcio,16,1:0,1,,82'
18,1/17/21,A,Dusan Vlahovic,ACF Fiorentina,SSC Napoli,5,6:0,,,90'
19,1/23/21,H,Dusan Vlahovic,ACF Fiorentina,Crotone,19,2:1,1,,69'
20,1/29/21,A,Dusan Vlahovic,ACF Fiorentina,Torino,17,1:1,,,84'
21,2/5/21,H,Dusan Vlahovic,ACF Fiorentina,Inter,1,0:2,,,73'
22,2/14/21,A,Dusan Vlahovic,ACF Fiorentina,Sampdoria,9,2:1,1,,90'
23,2/19/21,H,Dusan Vlahovic,ACF Fiorentina,Spezia Calcio,15,3:0,1,1,90'
24,2/28/21,A,Dusan Vlahovic,ACF Fiorentina,Udinese Calcio,13,1:0,,,90'
25,3/3/21,H,Dusan Vlahovic,ACF Fiorentina,AS Roma,7,1:2,,,90'
26,3/7/21,H,Dusan Vlahovic,ACF Fiorentina,Parma,20,3:3,,,90'
27,3/13/21,A,Dusan Vlahovic,ACF Fiorentina,Benevento,18,1:4,3,,78'
28,3/21/21,H,Dusan Vlahovic,ACF Fiorentina,AC Milan,2,2:3,,1,90'
29,4/3/21,A,Dusan Vlahovic,ACF Fiorentina,Genoa,11,1:1,1,,89'
30,4/11/21,H,Dusan Vlahovic,ACF Fiorentina,Atalanta BC,3,2:3,2,,90'
31,4/17/21,A,Dusan Vlahovic,ACF Fiorentina,Sassuolo,8,3:1,,,90'
32,4/20/21,A,Dusan Vlahovic,ACF Fiorentina,Hellas Verona,10,1:2,1,,90'
33,4/25/21,H,Dusan Vlahovic,ACF Fiorentina,Juventus,4,1:1,1,,90'
34,5/2/21,A,Dusan Vlahovic,ACF Fiorentina,Bologna,12,3:3,2,,90'
35,5/8/21,H,Dusan Vlahovic,ACF Fiorentina,Lazio,6,2:0,2,,90'
36,5/12/21,A,Dusan Vlahovic,ACF Fiorentina,Cagliari Calcio,16,0:0,,,90'
37,5/16/21,H,Dusan Vlahovic,ACF Fiorentina,SSC Napoli,5,0:2,,,90'
38,5/22/21,A,Dusan Vlahovic,ACF Fiorentina,Crotone,19,0:0,,,90'
2,9/26/20,A,Ciro Immobile,SS Lazio,Cagliari Calcio,16,0:2,1,,90'
1,9/30/20,H,Ciro Immobile,SS Lazio,Atalanta BC,3,1:4,,,90'
3,10/4/20,H,Ciro Immobile,SS Lazio,Inter,1,1:1,,,69'
5,10/24/20,H,Ciro Immobile,SS Lazio,Bologna,12,2:1,1,,90'
6,11/1/20,A,Ciro Immobile,SS Lazio,Torino,17,3:4,1,,33'
8,11/21/20,A,Ciro Immobile,SS Lazio,Crotone,19,0:2,1,1,75'
9,11/29/20,H,Ciro Immobile,SS Lazio,Udinese Calcio,13,1:3,1,,90'
10,12/5/20,A,Ciro Immobile,SS Lazio,Spezia Calcio,15,1:2,1,,59'
11,12/12/20,H,Ciro Immobile,SS Lazio,Hellas Verona,10,1:2,,,90'
12,12/15/20,A,Ciro Immobile,SS Lazio,Benevento,18,1:1,1,,90'
13,12/20/20,H,Ciro Immobile,SS Lazio,SSC Napoli,5,2:0,1,1,79'
14,12/23/20,A,Ciro Immobile,SS Lazio,AC Milan,2,3:2,1,,74'
15,1/3/21,A,Ciro Immobile,SS Lazio,Genoa,11,1:1,1,,90'
16,1/6/21,H,Ciro Immobile,SS Lazio,Fiorentina,14,2:1,1,,89'
17,1/10/21,A,Ciro Immobile,SS Lazio,Parma,20,0:2,,,90'
18,1/15/21,H,Ciro Immobile,SS Lazio,AS Roma,7,3:0,1,,83'
19,1/24/21,H,Ciro Immobile,SS Lazio,Sassuolo,8,2:1,1,,86'
20,1/31/21,A,Ciro Immobile,SS Lazio,Atalanta BC,3,1:3,,1,80'
21,2/7/21,H,Ciro Immobile,SS Lazio,Cagliari Calcio,16,1:0,1,,90'
22,2/14/21,A,Ciro Immobile,SS Lazio,Inter,1,3:1,,,70'
23,2/20/21,H,Ciro Immobile,SS Lazio,Sampdoria,9,1:0,,,86'
24,2/27/21,A,Ciro Immobile,SS Lazio,Bologna,12,2:0,,,65'
26,3/6/21,A,Ciro Immobile,SS Lazio,Juventus,4,3:1,,,82'
27,3/12/21,H,Ciro Immobile,SS Lazio,Crotone,19,3:2,,1,76'
28,3/21/21,A,Ciro Immobile,SS Lazio,Udinese Calcio,13,0:1,,,74'
29,4/3/21,H,Ciro Immobile,SS Lazio,Spezia Calcio,15,2:1,,,72'
30,4/11/21,A,Ciro Immobile,SS Lazio,Hellas Verona,10,0:1,,,90'
31,4/18/21,H,Ciro Immobile,SS Lazio,Benevento,18,5:3,2,1,90'
32,4/22/21,A,Ciro Immobile,SS Lazio,SSC Napoli,5,5:2,1,,83'
33,4/26/21,H,Ciro Immobile,SS Lazio,AC Milan,2,3:0,1,1,88'
34,5/2/21,H,Ciro Immobile,SS Lazio,Genoa,11,4:3,1,1,90'
35,5/8/21,A,Ciro Immobile,SS Lazio,Fiorentina,14,2:0,,,90'
36,5/12/21,H,Ciro Immobile,SS Lazio,Parma,20,1:0,1,,90'
37,5/15/21,A,Ciro Immobile,SS Lazio,AS Roma,7,2:0,,,90'
25,5/18/21,H,Ciro Immobile,SS Lazio,Torino,17,0:0,,,90'
1,9/20/20,A,Simy,FC Crotone,Genoa,11,4:1,,,89'
2,9/27/20,H,Simy,FC Crotone,AC Milan,2,0:2,,,90'
3,10/3/20,A,Simy,FC Crotone,Sassuolo,8,4:1,1,,90'
4,10/17/20,H,Simy,FC Crotone,Juventus,4,1:1,1,,90'
5,10/25/20,A,Simy,FC Crotone,Cagliari Calcio,16,4:2,,,89'
6,10/31/20,H,Simy,FC Crotone,Atalanta BC,3,1:2,1,,90'
7,11/8/20,A,Simy,FC Crotone,Torino,17,0:0,,,90'
8,11/21/20,H,Simy,FC Crotone,Lazio,6,0:2,,,90'
9,11/29/20,A,Simy,FC Crotone,Bologna,12,1:0,,,90'
10,12/6/20,H,Simy,FC Crotone,SSC Napoli,5,0:4,,,86'
11,12/12/20,H,Simy,FC Crotone,Spezia Calcio,15,4:1,,1,90'
12,12/15/20,A,Simy,FC Crotone,Udinese Calcio,13,0:0,,,90'
13,12/19/20,A,Simy,FC Crotone,Sampdoria,9,3:1,1,,87'
14,12/22/20,H,Simy,FC Crotone,Parma,20,2:1,,,30'
15,1/3/21,A,Simy,FC Crotone,Inter,1,6:2,,,29'
16,1/6/21,H,Simy,FC Crotone,AS Roma,7,1:3,,,90'
17,1/10/21,A,Simy,FC Crotone,Hellas Verona,10,2:1,,,45'
18,1/17/21,H,Simy,FC Crotone,Benevento,18,4:1,2,1,90'
19,1/23/21,A,Simy,FC Crotone,Fiorentina,14,2:1,1,,90'
20,1/31/21,H,Simy,FC Crotone,Genoa,11,0:3,,,90'
21,2/7/21,A,Simy,FC Crotone,AC Milan,2,4:0,,,12'
22,2/14/21,H,Simy,FC Crotone,Sassuolo,8,1:2,,,17'
23,2/22/21,A,Simy,FC Crotone,Juventus,4,3:0,,,18'
24,2/28/21,H,Simy,FC Crotone,Cagliari Calcio,16,0:2,,,26'
25,3/3/21,A,Simy,FC Crotone,Atalanta BC,3,5:1,1,,90'
26,3/7/21,H,Simy,FC Crotone,Torino,17,4:2,2,,75'
27,3/12/21,A,Simy,FC Crotone,Lazio,6,3:2,2,,90'
28,3/20/21,H,Simy,FC Crotone,Bologna,12,2:3,1,,90'
29,4/3/21,A,Simy,FC Crotone,SSC Napoli,5,4:3,2,,90'
30,4/10/21,A,Simy,FC Crotone,Spezia Calcio,15,3:2,1,,90'
31,4/17/21,H,Simy,FC Crotone,Udinese Calcio,13,1:2,1,,90'
32,4/21/21,H,Simy,FC Crotone,Sampdoria,9,0:1,,,90'
33,4/24/21,A,Simy,FC Crotone,Parma,20,3:4,2,,90'
34,5/1/21,H,Simy,FC Crotone,Inter,1,0:2,,,90'
35,5/9/21,A,Simy,FC Crotone,AS Roma,7,5:0,,,90'
36,5/13/21,H,Simy,FC Crotone,Hellas Verona,10,2:1,,1,90'
37,5/16/21,A,Simy,FC Crotone,Benevento,18,1:1,1,,90'
38,5/22/21,H,Simy,FC Crotone,Fiorentina,14,0:0,,,90'
1,9/20/20,A,Lorenzo Insigne,SSC Napoli,Parma,20,0:2,1,,90'
2,9/27/20,H,Lorenzo Insigne,SSC Napoli,Genoa,11,6:0,,,23'
5,10/25/20,A,Lorenzo Insigne,SSC Napoli,Benevento,18,1:2,1,,88'
7,11/8/20,A,Lorenzo Insigne,SSC Napoli,Bologna,12,0:1,,,83'
8,11/22/20,H,Lorenzo Insigne,SSC Napoli,AC Milan,2,1:3,,,90'
9,11/29/20,H,Lorenzo Insigne,SSC Napoli,AS Roma,7,4:0,1,1,90'
10,12/6/20,A,Lorenzo Insigne,SSC Napoli,Crotone,19,0:4,1,1,78'
11,12/13/20,H,Lorenzo Insigne,SSC Napoli,Sampdoria,9,2:1,,,90'
12,12/16/20,A,Lorenzo Insigne,SSC Napoli,Inter,1,1:0,,,71'
14,12/23/20,H,Lorenzo Insigne,SSC Napoli,Torino,17,1:1,1,,90'
15,1/3/21,A,Lorenzo Insigne,SSC Napoli,Cagliari Calcio,16,1:4,1,,90'
16,1/6/21,H,Lorenzo Insigne,SSC Napoli,Spezia Calcio,15,1:2,,,90'
17,1/10/21,A,Lorenzo Insigne,SSC Napoli,Udinese Calcio,13,1:2,1,,90'
18,1/17/21,H,Lorenzo Insigne,SSC Napoli,Fiorentina,14,6:0,2,1,79'
19,1/24/21,A,Lorenzo Insigne,SSC Napoli,Hellas Verona,10,3:1,,,60'
20,1/31/21,H,Lorenzo Insigne,SSC Napoli,Parma,20,2:0,,,90'
21,2/6/21,A,Lorenzo Insigne,SSC Napoli,Genoa,11,2:1,,,36'
22,2/13/21,H,Lorenzo Insigne,SSC Napoli,Juventus,4,1:0,1,,88'
23,2/21/21,A,Lorenzo Insigne,SSC Napoli,Atalanta BC,3,4:2,,,37'
24,2/28/21,H,Lorenzo Insigne,SSC Napoli,Benevento,18,2:0,,,90'
25,3/3/21,A,Lorenzo Insigne,SSC Napoli,Sassuolo,8,3:3,1,1,90'
26,3/7/21,H,Lorenzo Insigne,SSC Napoli,Bologna,12,3:1,2,,79'
27,3/14/21,A,Lorenzo Insigne,SSC Napoli,AC Milan,2,0:1,,,90'
28,3/21/21,A,Lorenzo Insigne,SSC Napoli,AS Roma,7,0:2,,,86'
29,4/3/21,H,Lorenzo Insigne,SSC Napoli,Crotone,19,4:3,1,1,90'
3,4/7/21,A,Lorenzo Insigne,SSC Napoli,Juventus,4,2:1,1,,90'
30,4/11/21,A,Lorenzo Insigne,SSC Napoli,Sampdoria,9,0:2,,,90'
