match_day,date,venue,player,team,opponent,opponent_position,result,goals,assists,minutes_played
5,10/25/20,H,Wout Weghorst,VfL Wolfsburg,Arm. Bielefeld,15,2:1,1,,90'
6,11/1/20,A,Wout Weghorst,VfL Wolfsburg,Hertha BSC,14,1:1,,,90'
7,11/8/20,H,Wout Weghorst,VfL Wolfsburg,TSG Hoffenheim,11,2:1,1,,90'
8,11/21/20,A,Wout Weghorst,VfL Wolfsburg,FC Schalke 04,18,0:2,1,1,89'
9,11/27/20,H,Wout Weghorst,VfL Wolfsburg,Werder Bremen,17,5:3,2,,90'
10,12/5/20,A,Wout Weghorst,VfL Wolfsburg,1. FC Köln,16,2:2,1,,90'
11,12/11/20,H,Wout Weghorst,VfL Wolfsburg,E. Frankfurt,5,2:1,2,,90'
12,12/16/20,A,Wout Weghorst,VfL Wolfsburg,FC Bayern,1,2:1,,,90'
13,12/20/20,H,Wout Weghorst,VfL Wolfsburg,VfB Stuttgart,9,1:0,,,90'
14,1/3/21,A,Wout Weghorst,VfL Wolfsburg,Bor. Dortmund,3,2:0,,,90'
15,1/9/21,A,Wout Weghorst,VfL Wolfsburg,Union Berlin,7,2:2,1,,90'
16,1/16/21,H,Wout Weghorst,VfL Wolfsburg,RB Leipzig,2,2:2,1,,90'
17,1/19/21,A,Wout Weghorst,VfL Wolfsburg,1.FSV Mainz 05,12,0:2,1,,88'
18,1/23/21,A,Wout Weghorst,VfL Wolfsburg,Bay. Leverkusen,6,0:1,,,90'
19,1/31/21,H,Wout Weghorst,VfL Wolfsburg,SC Freiburg,10,3:0,1,,79'
20,2/6/21,A,Wout Weghorst,VfL Wolfsburg,FC Augsburg,13,0:2,1,1,90'
21,2/14/21,H,Wout Weghorst,VfL Wolfsburg,Bor. M'gladbach,8,0:0,,,90'
22,2/19/21,A,Wout Weghorst,VfL Wolfsburg,Arm. Bielefeld,15,0:3,,2,83'
23,2/27/21,H,Wout Weghorst,VfL Wolfsburg,Hertha BSC,14,2:0,,,86'
24,3/6/21,A,Wout Weghorst,VfL Wolfsburg,TSG Hoffenheim,11,2:1,1,,90'
25,3/13/21,H,Wout Weghorst,VfL Wolfsburg,FC Schalke 04,18,5:0,1,2,84'
26,3/20/21,A,Wout Weghorst,VfL Wolfsburg,Werder Bremen,17,1:2,1,,90'
27,4/3/21,H,Wout Weghorst,VfL Wolfsburg,1. FC Köln,16,1:0,,1,90'
28,4/10/21,A,Wout Weghorst,VfL Wolfsburg,E. Frankfurt,5,4:3,1,1,90'
29,4/17/21,H,Wout Weghorst,VfL Wolfsburg,FC Bayern,1,2:3,1,,90'
30,4/21/21,A,Wout Weghorst,VfL Wolfsburg,VfB Stuttgart,9,1:3,1,,88'
31,4/24/21,H,Wout Weghorst,VfL Wolfsburg,Bor. Dortmund,3,0:2,,,90'
