player,team,team_position,opponent,opponent_position,goals,assists
Alexander Isak,Sevilla FC,4,Sevilla FC,4,,
Alexander Isak,Celta de Vigo,8,Celta de Vigo,8,,
Alexander Isak,SD Eibar,20,SD Eibar,20,1,
Alexander Isak,SD Huesca,18,SD Huesca,18,,
Alexander Isak,Elche CF,17,Elche CF,17,,
Alexander Isak,Atlético Madrid,1,Atlético Madrid,1,,
Alexander Isak,Real Valladolid,19,Real Valladolid,19,2,
Alexander Isak,CA Osasuna,11,CA Osasuna,11,1,
Iago Aspas,SD Eibar,20,SD Eibar,20,,
Iago Aspas,Valencia,13,Valencia,13,2,
Iago Aspas,Real Valladolid,19,Real Valladolid,19,1,
Iago Aspas,FC Barcelona,3,FC Barcelona,3,,
Iago Aspas,CA Osasuna,11,CA Osasuna,11,,
Iago Aspas,Atlético Madrid,1,Atlético Madrid,1,,
Iago Aspas,Levante,14,Levante,14,,
Iago Aspas,Real Sociedad,5,Real Sociedad,5,1,
Iago Aspas,Elche CF,17,Elche CF,17,,1
Iago Aspas,Sevilla FC,4,Sevilla FC,4,1,
Iago Aspas,Granada CF,9,Granada CF,9,,1
Iago Aspas,Athletic,10,Athletic,10,1,
Iago Aspas,Cádiz CF,12,Cádiz CF,12,1,2
Iago Aspas,Alavés,16,Alavés,16,,1
Iago Aspas,Getafe,15,Getafe,15,1,
Iago Aspas,SD Huesca,18,SD Huesca,18,1,1
Iago Aspas,Real Madrid,2,Real Madrid,2,,
Iago Aspas,Granada CF,9,Granada CF,9,,
Iago Aspas,Atlético Madrid,1,Atlético Madrid,1,,
Iago Aspas,Elche CF,17,Elche CF,17,,
Iago Aspas,Real Valladolid,19,Real Valladolid,19,,1
Iago Aspas,SD Huesca,18,SD Huesca,18,,1
Iago Aspas,Athletic,10,Athletic,10,,
Iago Aspas,Real Madrid,2,Real Madrid,2,,
Iago Aspas,Alavés,16,Alavés,16,1,2
Iago Aspas,Sevilla FC,4,Sevilla FC,4,2,
Iago Aspas,Cádiz CF,12,Cádiz CF,12,,
Iago Aspas,Real Sociedad,5,Real Sociedad,5,,
Iago Aspas,CA Osasuna,11,CA Osasuna,11,1,
Iago Aspas,Levante,14,Levante,14,,1
Iago Aspas,Getafe,15,Getafe,15,,
Iago Aspas,FC Barcelona,3,FC Barcelona,3,,1
Iago Aspas,Real Betis,6,Real Betis,6,1,1
Antoine Griezmann,Villarreal,7,Villarreal,7,,
Antoine Griezmann,Celta de Vigo,8,Celta de Vigo,8,,
Antoine Griezmann,Sevilla FC,4,Sevilla FC,4,,
Antoine Griezmann,Getafe,15,Getafe,15,,
Antoine Griezmann,Real Madrid,2,Real Madrid,2,,
Antoine Griezmann,Alavés,16,Alavés,16,1,
Antoine Griezmann,Real Betis,6,Real Betis,6,1,1
Antoine Griezmann,Atlético Madrid,1,Atlético Madrid,1,,
Antoine Griezmann,CA Osasuna,11,CA Osasuna,11,1,1
Antoine Griezmann,Cádiz CF,12,Cádiz CF,12,,
Antoine Griezmann,Levante,14,Levante,14,,
Antoine Griezmann,Real Sociedad,5,Real Sociedad,5,,
Antoine Griezmann,Valencia,13,Valencia,13,,
Antoine Griezmann,SD Eibar,20,SD Eibar,20,,
Antoine Griezmann,SD Huesca,18,SD Huesca,18,,
Antoine Griezmann,Athletic,10,Athletic,10,,1
Antoine Griezmann,Granada CF,9,Granada CF,9,2,1
Antoine Griezmann,Elche CF,17,Elche CF,17,,
Antoine Griezmann,Athletic,10,Athletic,10,1,
Antoine Griezmann,Real Betis,6,Real Betis,6,,
Antoine Griezmann,Alavés,16,Alavés,16,,2
Antoine Griezmann,Cádiz CF,12,Cádiz CF,12,,
Antoine Griezmann,Elche CF,17,Elche CF,17,,
Antoine Griezmann,CA Osasuna,11,CA Osasuna,11,,
Antoine Griezmann,SD Huesca,18,SD Huesca,18,1,
Antoine Griezmann,Real Sociedad,5,Real Sociedad,5,1,
Antoine Griezmann,Real Valladolid,19,Real Valladolid,19,,
Antoine Griezmann,Real Madrid,2,Real Madrid,2,,
Antoine Griezmann,Getafe,15,Getafe,15,1,
Antoine Griezmann,Villarreal,7,Villarreal,7,2,
Antoine Griezmann,Granada CF,9,Granada CF,9,,1
Antoine Griezmann,Valencia,13,Valencia,13,1,
Antoine Griezmann,Atlético Madrid,1,Atlético Madrid,1,,
Antoine Griezmann,Levante,14,Levante,14,,
Antoine Griezmann,Celta de Vigo,8,Celta de Vigo,8,,
Antoine Griezmann,SD Eibar,20,SD Eibar,20,1,
José Luis Morales,Valencia,13,Valencia,13,2,
