match_day,date,venue,player,team,opponent,opponent_position,result,goals,assists,minutes_played
3,9/26/20,A,Alexander Isak,Real Sociedad,Elche CF,17,0:3,,,67'
4,9/29/20,H,Alexander Isak,Real Sociedad,Valencia,13,0:1,,,67'
5,10/3/20,H,Alexander Isak,Real Sociedad,Getafe,15,3:0,,,73'
6,10/18/20,A,Alexander Isak,Real Sociedad,Real Betis,6,0:3,,1,21'
7,10/25/20,H,Alexander Isak,Real Sociedad,SD Huesca,18,4:1,1,,27'
10,11/22/20,A,Alexander Isak,Real Sociedad,Cádiz CF,12,0:1,1,,74'
12,12/6/20,A,Alexander Isak,Real Sociedad,Alavés,16,0:0,,,75'
13,12/13/20,H,Alexander Isak,Real Sociedad,SD Eibar,20,1:1,,,63'
19,12/16/20,A,Alexander Isak,Real Sociedad,Barcelona,3,2:1,,,27'
14,12/19/20,A,Alexander Isak,Real Sociedad,Levante,14,2:1,1,,90'
15,12/22/20,H,Alexander Isak,Real Sociedad,Atlético Madrid,1,0:2,,,24'
16,12/31/20,A,Alexander Isak,Real Sociedad,Athletic,10,0:1,,,85'
18,1/9/21,A,Alexander Isak,Real Sociedad,Sevilla FC,4,3:2,1,,90'
20,1/23/21,H,Alexander Isak,Real Sociedad,Real Betis,6,2:2,1,1,83'
21,1/30/21,A,Alexander Isak,Real Sociedad,Villarreal,7,1:1,1,,90'
22,2/7/21,H,Alexander Isak,Real Sociedad,Cádiz CF,12,4:1,2,,74'
23,2/14/21,A,Alexander Isak,Real Sociedad,Getafe,15,0:1,1,,79'
24,2/21/21,H,Alexander Isak,Real Sociedad,Alavés,16,4:0,3,,65'
25,3/1/21,A,Alexander Isak,Real Sociedad,Real Madrid,2,1:1,,,82'
26,3/7/21,H,Alexander Isak,Real Sociedad,Levante,14,1:0,,,80'
27,3/14/21,A,Alexander Isak,Real Sociedad,Granada CF,9,1:0,,,63'
28,3/21/21,H,Alexander Isak,Real Sociedad,Barcelona,3,1:6,,,83'
29,4/7/21,H,Alexander Isak,Real Sociedad,Athletic,10,1:1,,,71'
30,4/11/21,A,Alexander Isak,Real Sociedad,Valencia,13,2:2,1,,90'
33,4/18/21,H,Alexander Isak,Real Sociedad,Sevilla FC,4,1:2,,,90'
31,4/22/21,H,Alexander Isak,Real Sociedad,Celta de Vigo,8,2:1,,,68'
32,4/26/21,A,Alexander Isak,Real Sociedad,SD Eibar,20,0:1,1,,73'
34,5/1/21,A,Alexander Isak,Real Sociedad,SD Huesca,18,1:0,,,81'
35,5/7/21,H,Alexander Isak,Real Sociedad,Elche CF,17,2:0,,,83'
36,5/12/21,A,Alexander Isak,Real Sociedad,Atlético Madrid,1,2:1,,,45'
37,5/16/21,H,Alexander Isak,Real Sociedad,Real Valladolid,19,4:1,2,,45'
38,5/22/21,A,Alexander Isak,Real Sociedad,CA Osasuna,11,0:1,1,,89'
1,9/12/20,A,Iago Aspas,Celta de Vigo,SD Eibar,20,0:0,,,90'
2,9/19/20,H,Iago Aspas,Celta de Vigo,Valencia,13,2:1,2,,90'
3,9/27/20,A,Iago Aspas,Celta de Vigo,Real Valladolid,19,1:1,1,,90'
4,10/1/20,H,Iago Aspas,Celta de Vigo,Barcelona,3,0:3,,,90'
5,10/4/20,A,Iago Aspas,Celta de Vigo,CA Osasuna,11,2:0,,,90'
6,10/17/20,H,Iago Aspas,Celta de Vigo,Atlético Madrid,1,0:2,,,90'
7,10/26/20,A,Iago Aspas,Celta de Vigo,Levante,14,1:1,,,90'
8,11/1/20,H,Iago Aspas,Celta de Vigo,Real Sociedad,5,1:4,1,,90'
9,11/6/20,A,Iago Aspas,Celta de Vigo,Elche CF,17,1:1,,1,90'
10,11/21/20,A,Iago Aspas,Celta de Vigo,Sevilla FC,4,4:2,1,,90'
11,11/29/20,H,Iago Aspas,Celta de Vigo,Granada CF,9,3:1,,1,90'
12,12/4/20,A,Iago Aspas,Celta de Vigo,Athletic,10,0:2,1,,88'
13,12/14/20,H,Iago Aspas,Celta de Vigo,Cádiz CF,12,4:0,1,2,90'
14,12/20/20,H,Iago Aspas,Celta de Vigo,Alavés,16,2:0,,1,90'
15,12/23/20,A,Iago Aspas,Celta de Vigo,Getafe,15,1:1,1,,90'
16,12/30/20,H,Iago Aspas,Celta de Vigo,SD Huesca,18,2:1,1,1,73'
17,1/2/21,A,Iago Aspas,Celta de Vigo,Real Madrid,2,2:0,,,51'
21,1/31/21,A,Iago Aspas,Celta de Vigo,Granada CF,9,0:0,,,90'
22,2/8/21,A,Iago Aspas,Celta de Vigo,Atlético Madrid,1,2:2,,,90'
23,2/12/21,H,Iago Aspas,Celta de Vigo,Elche CF,17,3:1,,,89'
25,2/28/21,H,Iago Aspas,Celta de Vigo,Real Valladolid,19,1:1,,1,90'
26,3/7/21,A,Iago Aspas,Celta de Vigo,SD Huesca,18,3:4,,1,90'
27,3/14/21,H,Iago Aspas,Celta de Vigo,Athletic,10,0:0,,,90'
28,3/20/21,H,Iago Aspas,Celta de Vigo,Real Madrid,2,1:3,,,90'
29,4/4/21,A,Iago Aspas,Celta de Vigo,Alavés,16,1:3,1,2,87'
30,4/12/21,H,Iago Aspas,Celta de Vigo,Sevilla FC,4,3:4,2,,90'
33,4/18/21,A,Iago Aspas,Celta de Vigo,Cádiz CF,12,0:0,,,90'
31,4/22/21,A,Iago Aspas,Celta de Vigo,Real Sociedad,5,2:1,,,90'
32,4/25/21,H,Iago Aspas,Celta de Vigo,CA Osasuna,11,2:1,1,,90'
34,4/30/21,H,Iago Aspas,Celta de Vigo,Levante,14,2:0,,1,65'
36,5/12/21,H,Iago Aspas,Celta de Vigo,Getafe,15,1:0,,,90'
37,5/16/21,A,Iago Aspas,Celta de Vigo,Barcelona,3,1:2,,1,78'
38,5/22/21,H,Iago Aspas,Celta de Vigo,Real Betis,6,2:3,1,1,90'
3,9/27/20,H,Antoine Griezmann,FC Barcelona,Villarreal,7,4:0,,,78'
4,10/1/20,A,Antoine Griezmann,FC Barcelona,Celta de Vigo,8,0:3,,,45'
5,10/4/20,H,Antoine Griezmann,FC Barcelona,Sevilla FC,4,1:1,,,61'
6,10/17/20,A,Antoine Griezmann,FC Barcelona,Getafe,15,1:0,,,80'
7,10/24/20,H,Antoine Griezmann,FC Barcelona,Real Madrid,2,1:3,,,9'
8,10/31/20,A,Antoine Griezmann,FC Barcelona,Alavés,16,1:1,1,,90'
9,11/7/20,H,Antoine Griezmann,FC Barcelona,Real Betis,6,5:2,1,1,78'
