player,team,team_position,opponent,opponent_position,goals,assists
Sasa Kalajdzic,FC Schalke 04,18,FC Schalke 04,18,1,
Sasa Kalajdzic,E. Frankfurt,5,E. Frankfurt,5,1,
Sasa Kalajdzic,TSG Hoffenheim,11,TSG Hoffenheim,11,1,
Sasa Kalajdzic,FC Bayern,1,FC Bayern,1,,
Sasa Kalajdzic,Werder Bremen,17,Werder Bremen,17,,
Sasa Kalajdzic,Bor. Dortmund,3,Bor. Dortmund,3,1,
Sasa Kalajdzic,Union Berlin,7,Union Berlin,7,,1
Sasa Kalajdzic,VfL Wolfsburg,4,VfL Wolfsburg,4,,
Sasa Kalajdzic,RB Leipzig,2,RB Leipzig,2,,
Sasa Kalajdzic,FC Augsburg,13,FC Augsburg,13,1,1
Sasa Kalajdzic,Bor. M'gladbach,8,Bor. M'gladbach,8,1,
Sasa Kalajdzic,Arm. Bielefeld,15,Arm. Bielefeld,15,,
Lars Stindl,Bor. Dortmund,3,Bor. Dortmund,3,,
Lars Stindl,Union Berlin,7,Union Berlin,7,,
Lars Stindl,1. FC Köln,16,1. FC Köln,16,1,
Lars Stindl,VfL Wolfsburg,4,VfL Wolfsburg,4,,
Lars Stindl,1.FSV Mainz 05,12,1.FSV Mainz 05,12,1,
Lars Stindl,RB Leipzig,2,RB Leipzig,2,,
Lars Stindl,Bay. Leverkusen,6,Bay. Leverkusen,6,2,
Lars Stindl,FC Augsburg,13,FC Augsburg,13,,1
Lars Stindl,FC Schalke 04,18,FC Schalke 04,18,,
Lars Stindl,SC Freiburg,10,SC Freiburg,10,,1
Lars Stindl,Hertha BSC,14,Hertha BSC,14,,
Lars Stindl,E. Frankfurt,5,E. Frankfurt,5,3,
Lars Stindl,TSG Hoffenheim,11,TSG Hoffenheim,11,1,
Lars Stindl,Arm. Bielefeld,15,Arm. Bielefeld,15,,
Lars Stindl,FC Bayern,1,FC Bayern,1,,2
Lars Stindl,VfB Stuttgart,9,VfB Stuttgart,9,1,1
Lars Stindl,Werder Bremen,17,Werder Bremen,17,,
Lars Stindl,Bor. Dortmund,3,Bor. Dortmund,3,,1
Lars Stindl,Union Berlin,7,Union Berlin,7,,
Lars Stindl,1. FC Köln,16,1. FC Köln,16,,1
Lars Stindl,VfL Wolfsburg,4,VfL Wolfsburg,4,,
Lars Stindl,1.FSV Mainz 05,12,1.FSV Mainz 05,12,1,
Lars Stindl,RB Leipzig,2,RB Leipzig,2,,
Lars Stindl,FC Augsburg,13,FC Augsburg,13,,
