player,goal_involvement(goals + assists),goals,assists,minutes_played,games_played,minutes_per_goal_involvement,games_per_goal_involvement,minutes_per_goal,games_per_assist,Chest,Counter attack goal,Deflected shot on goal,Direct free kick,Header,Left-footed shot,Long distance kick,Penalty,Right-footed shot,Solo run,Tap-in
Richarlison,7.0,4.0,3.0,1375,17,196.4,2.4,343.8,5.7,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0
Ben Chilwell,7.0,3.0,4.0,1111,13,158.7,1.9,370.3,3.2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
Eberechi Eze,7.0,3.0,4.0,1241,17,177.3,2.4,413.7,4.2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Mateusz Klich,7.0,2.0,5.0,1296,18,185.1,2.6,648.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Saïd Benrahma,7.0,1.0,6.0,774,16,110.6,2.3,774.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Anwar El Ghazi,6.0,6.0,0.0,713,12,118.8,2.0,118.8,inf,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
Christian Benteke,6.0,6.0,0.0,819,15,136.5,2.5,136.5,inf,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0
Tomas Soucek,6.0,6.0,0.0,1800,20,300.0,3.3,300.0,inf,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0
Anthony Martial,6.0,4.0,2.0,922,12,153.7,2.0,230.5,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
James Rodríguez,6.0,4.0,2.0,987,12,164.5,2.0,246.8,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Ollie Watkins,6.0,4.0,2.0,1620,18,270.0,3.0,405.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0
Bertrand Traoré,6.0,3.0,3.0,1142,17,190.3,2.8,380.7,5.7,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Pedro Neto,6.0,3.0,3.0,1089,14,181.5,2.3,363.0,4.7,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
Allan Saint-Maximin,6.0,2.0,4.0,619,11,103.2,1.8,309.5,2.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Leandro Trossard,6.0,2.0,4.0,1207,16,201.2,2.7,603.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Paul Pogba,6.0,2.0,4.0,1047,13,174.5,2.2,523.5,3.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Pascal Groß,6.0,1.0,5.0,1089,15,181.5,2.5,1089.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Matheus Pereira,5.0,5.0,0.0,1303,16,260.6,3.2,260.6,inf,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0
Jorginho,5.0,4.0,1.0,1082,16,216.4,3.2,270.5,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Mason Greenwood,5.0,4.0,1.0,1024,16,204.8,3.2,256.0,16.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
Neal Maupay,5.0,4.0,1.0,1394,17,278.8,3.4,348.5,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
Christian Pulisic,5.0,3.0,2.0,738,11,147.6,2.2,246.0,5.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Fábio Silva,5.0,3.0,2.0,568,14,113.6,2.8,189.3,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
Pablo Fornals,5.0,3.0,2.0,1271,17,254.2,3.4,423.7,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Tammy Abraham,5.0,3.0,2.0,619,13,123.8,2.6,206.3,6.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Jacob Murphy,5.0,2.0,3.0,521,10,104.2,2.0,260.5,3.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Dwight McNeil,5.0,1.0,4.0,1507,17,301.4,3.4,1507.0,4.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Gylfi Sigurdsson,5.0,1.0,4.0,1191,19,238.2,3.8,1191.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Willian,5.0,1.0,4.0,712,13,142.4,2.6,712.0,3.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kurt Zouma,4.0,4.0,0.0,1080,12,270.0,3.0,270.0,inf,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0
Lewis Dunk,4.0,4.0,0.0,1403,16,350.8,4.0,350.8,inf,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Ashley Westwood,4.0,3.0,1.0,1620,18,405.0,4.5,540.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
Danny Welbeck,4.0,3.0,1.0,812,13,203.0,3.2,270.7,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
David McGoldrick,4.0,3.0,1.0,1183,17,295.8,4.2,394.3,17.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
Rúben Neves,4.0,3.0,1.0,1163,16,290.8,4.0,387.7,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
Aaron Wan-Bissaka,4.0,2.0,2.0,1620,18,405.0,4.5,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Adama Traoré,4.0,2.0,2.0,1210,18,302.5,4.5,605.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Hélder Costa,4.0,2.0,2.0,482,9,120.5,2.2,241.0,4.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
James Justin,4.0,2.0,2.0,1080,12,270.0,3.0,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Jonny Evans,4.0,2.0,2.0,1350,15,337.5,3.8,675.0,7.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
João Cancelo,4.0,2.0,2.0,1157,15,289.2,3.8,578.5,7.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Lucas Moura,4.0,2.0,2.0,754,13,188.5,3.2,377.0,6.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Nathan Redmond,4.0,2.0,2.0,840,14,210.0,3.5,420.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Stuart Dallas,4.0,2.0,2.0,1800,20,450.0,5.0,900.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
