player,goal_involvement(goals + assists),goals,assists,minutes_played,games_played,minutes_per_goal_involvement,games_per_goal_involvement,minutes_per_goal,games_per_assist,Chest,Counter attack goal,Direct free kick,Header,Left-footed shot,Long distance kick,Penalty,Penalty rebound,Right-footed shot,Tap-in
Bobby Reid,2.0,1.0,1.0,710,9,355.0,4.5,710.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Callum Hudson-Odoi,2.0,1.0,1.0,240,6,120.0,3.0,240.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Danny Welbeck,2.0,1.0,1.0,311,5,155.5,2.5,311.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Edinson Cavani,2.0,1.0,1.0,346,6,173.0,3.0,346.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Emile Smith Rowe,2.0,1.0,1.0,332,5,166.0,2.5,332.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Gabriel Jesus,2.0,1.0,1.0,554,8,277.0,4.0,554.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Giovani Lo Celso,2.0,1.0,1.0,241,5,120.5,2.5,241.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Hélder Costa,2.0,1.0,1.0,480,7,240.0,3.5,480.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Jack Harrison,2.0,1.0,1.0,735,10,367.5,5.0,735.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
João Moutinho,2.0,1.0,1.0,882,11,441.0,5.5,882.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Marcus Rashford,2.0,1.0,1.0,855,10,427.5,5.0,855.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Mario Lemina,2.0,1.0,1.0,624,9,312.0,4.5,624.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Mason Greenwood,2.0,1.0,1.0,376,10,188.0,5.0,376.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Michael Keane,2.0,1.0,1.0,990,11,495.0,5.5,990.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Oliver Burke,2.0,1.0,1.0,540,10,270.0,5.0,540.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Pablo Fornals,2.0,1.0,1.0,790,10,395.0,5.0,790.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Pierre-Emerick Aubameyang,2.0,1.0,1.0,604,7,302.0,3.5,604.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Pierre-Emile Höjbjerg,2.0,1.0,1.0,900,10,450.0,5.0,900.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Ross Barkley,2.0,1.0,1.0,489,9,244.5,4.5,489.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Sander Berge,2.0,1.0,1.0,417,6,208.5,3.0,417.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Serge Aurier,2.0,1.0,1.0,675,8,337.5,4.0,675.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Tanguy Ndombélé,2.0,1.0,1.0,562,8,281.0,4.0,562.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Theo Walcott,2.0,1.0,1.0,622,8,311.0,4.0,622.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Adam Webster,1.0,1.0,0.0,990,11,990.0,11.0,990.0,inf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Allan Saint-Maximin,1.0,1.0,0.0,602,8,602.0,8.0,602.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Ashley Barnes,1.0,1.0,0.0,452,6,452.0,6.0,452.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Bernard,1.0,1.0,0.0,135,3,135.0,3.0,135.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Bukayo Saka,1.0,1.0,0.0,561,7,561.0,7.0,561.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Caglar Söyüncü,1.0,1.0,0.0,540,6,540.0,6.0,540.0,inf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Callum Wilson,1.0,1.0,0.0,480,6,480.0,6.0,480.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Conor Coady,1.0,1.0,0.0,1080,12,1080.0,12.0,1080.0,inf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Craig Dawson,1.0,1.0,0.0,450,5,450.0,5.0,450.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Dan Burn,1.0,1.0,0.0,648,8,648.0,8.0,648.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Diego Llorente,1.0,1.0,0.0,531,6,531.0,6.0,531.0,inf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Emil Krafth,1.0,1.0,0.0,529,6,529.0,6.0,529.0,inf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Erik Lamela,1.0,1.0,0.0,252,6,252.0,6.0,252.0,inf,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Fabián Balbuena,1.0,1.0,0.0,531,6,531.0,6.0,531.0,inf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Fred,1.0,1.0,0.0,800,10,800.0,10.0,800.0,inf,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Granit Xhaka,1.0,1.0,0.0,593,7,593.0,7.0,593.0,inf,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hakim Ziyech,1.0,1.0,0.0,388,7,388.0,7.0,388.0,inf,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Hal Robson-Kanu,1.0,1.0,0.0,194,5,194.0,5.0,194.0,inf,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Ivan Cavaleiro,1.0,1.0,0.0,994,12,994.0,12.0,994.0,inf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
James Tarkowski,1.0,1.0,0.0,1080,12,1080.0,12.0,1080.0,inf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
