player,goal_involvement(goals + assists),goals,assists,minutes_played,games_played,minutes_per_goal_involvement,games_per_goal_involvement,minutes_per_goal,games_per_assist,Counter attack goal,Direct free kick,Header,Left-footed shot,Penalty,Right-footed shot,Solo run,Tap-in
Keinan Davis,2.0,1.0,1.0,68,4,34.0,2.0,68.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Kieran Tierney,2.0,1.0,1.0,297,4,148.5,2.0,297.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Nathan Tella,2.0,1.0,1.0,112,3,56.0,1.5,112.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Oriol Romeu,2.0,1.0,1.0,176,2,88.0,1.0,176.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Pedro Neto,2.0,1.0,1.0,273,4,136.5,2.0,273.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Riyad Mahrez,2.0,1.0,1.0,265,3,132.5,1.5,265.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Timothy Castagne,2.0,1.0,1.0,270,3,135.0,1.5,270.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Willy Boly,2.0,1.0,1.0,360,4,180.0,2.0,360.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Alisson,1.0,1.0,0.0,450,5,450.0,5.0,450.0,inf,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Angelo Ogbonna,1.0,1.0,0.0,423,5,423.0,5.0,423.0,inf,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Ashley Barnes,1.0,1.0,0.0,251,5,251.0,5.0,251.0,inf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ashley Westwood,1.0,1.0,0.0,540,6,540.0,6.0,540.0,inf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ben Chilwell,1.0,1.0,0.0,323,4,323.0,4.0,323.0,inf,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Ben Mee,1.0,1.0,0.0,270,3,270.0,3.0,270.0,inf,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Callum Hudson-Odoi,1.0,1.0,0.0,88,3,88.0,3.0,88.0,inf,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Callum Wilson,1.0,1.0,0.0,270,3,270.0,3.0,270.0,inf,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Chris Wood,1.0,1.0,0.0,356,4,356.0,4.0,356.0,inf,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Christian Pulisic,1.0,1.0,0.0,135,2,135.0,2.0,135.0,inf,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Conor Gallagher,1.0,1.0,0.0,286,4,286.0,4.0,286.0,inf,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Curtis Jones,1.0,1.0,0.0,312,4,312.0,4.0,312.0,inf,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Danny Welbeck,1.0,1.0,0.0,233,4,233.0,4.0,233.0,inf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Declan Rice,1.0,1.0,0.0,540,6,540.0,6.0,540.0,inf,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Diogo Jota,1.0,1.0,0.0,173,2,173.0,2.0,173.0,inf,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Dwight Gayle,1.0,1.0,0.0,139,5,139.0,5.0,139.0,inf,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Eddie Nketiah,1.0,1.0,0.0,81,4,81.0,4.0,81.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Ezgjan Alioski,1.0,1.0,0.0,381,6,381.0,6.0,381.0,inf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ezri Konsa,1.0,1.0,0.0,450,5,450.0,5.0,450.0,inf,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Fabian Schär,1.0,1.0,0.0,107,2,107.0,2.0,107.0,inf,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Gabriel,1.0,1.0,0.0,360,4,360.0,4.0,360.0,inf,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Gabriel Martinelli,1.0,1.0,0.0,233,3,233.0,3.0,233.0,inf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Harry Maguire,1.0,1.0,0.0,450,5,450.0,5.0,450.0,inf,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Harvey Barnes,1.0,1.0,0.0,211,3,211.0,3.0,211.0,inf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Issa Diop,1.0,1.0,0.0,118,3,118.0,3.0,118.0,inf,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Ivan Cavaleiro,1.0,1.0,0.0,191,4,191.0,4.0,191.0,inf,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Jairo Riedewald,1.0,1.0,0.0,302,6,302.0,6.0,302.0,inf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Jayden Bogle,1.0,1.0,0.0,100,2,100.0,2.0,100.0,inf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Jeffrey Schlupp,1.0,1.0,0.0,277,5,277.0,5.0,277.0,inf,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
John Stones,1.0,1.0,0.0,270,3,270.0,3.0,270.0,inf,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Jonny Evans,1.0,1.0,0.0,450,5,450.0,5.0,450.0,inf,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Jorginho,1.0,1.0,0.0,246,4,246.0,4.0,246.0,inf,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Kalvin Phillips,1.0,1.0,0.0,540,6,540.0,6.0,540.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyle Bartley,1.0,1.0,0.0,270,3,270.0,3.0,270.0,inf,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Kyle Walker,1.0,1.0,0.0,195,3,195.0,3.0,195.0,inf,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Luka Milivojevic,1.0,1.0,0.0,540,6,540.0,6.0,540.0,inf,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Matheus Pereira,1.0,1.0,0.0,326,4,326.0,4.0,326.0,inf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Matt Phillips,1.0,1.0,0.0,116,4,116.0,4.0,116.0,inf,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Michael Keane,1.0,1.0,0.0,460,6,460.0,6.0,460.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Miguel Almirón,1.0,1.0,0.0,346,4,346.0,4.0,346.0,inf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Moussa Djenepo,1.0,1.0,0.0,61,4,61.0,4.0,61.0,inf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Nathan Redmond,1.0,1.0,0.0,238,5,238.0,5.0,238.0,inf,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Ola Aina,1.0,1.0,0.0,351,4,351.0,4.0,351.0,inf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ollie Watkins,1.0,1.0,0.0,540,6,540.0,6.0,540.0,inf,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Paul Pogba,1.0,1.0,0.0,360,4,360.0,4.0,360.0,inf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Pierre-Emerick Aubameyang,1.0,1.0,0.0,270,3,270.0,3.0,270.0,inf,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Raúl Jiménez,1.0,1.0,0.0,180,2,180.0,2.0,180.0,inf,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Roberto Firmino,1.0,1.0,0.0,443,5,443.0,5.0,443.0,inf,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Romain Saïss,1.0,1.0,0.0,540,6,540.0,6.0,540.0,inf,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Ryan Fredericks,1.0,1.0,0.0,17,2,17.0,2.0,17.0,inf,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Sergio Agüero,1.0,1.0,0.0,104,2,104.0,2.0,104.0,inf,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Sébastien Haller,1.0,1.0,0.0,180,2,180.0,2.0,180.0,inf,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Tanguy Ndombélé,1.0,1.0,0.0,400,5,400.0,5.0,400.0,inf,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Theo Walcott,1.0,1.0,0.0,260,4,260.0,4.0,260.0,inf,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Thiago Silva,1.0,1.0,0.0,372,5,372.0,5.0,372.0,inf,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Willian José,1.0,1.0,0.0,155,2,155.0,2.0,155.0,inf,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
