player,goal_involvement(goals + assists),goals,assists,minutes_played,games_played,minutes_per_goal_involvement,games_per_goal_involvement,minutes_per_goal,games_per_assist,away_goals,home_goals,Counter attack goal,Direct free kick,Header,Left-footed shot,Penalty,Penalty rebound,Right-footed shot
Emil Krafth,1.0,1.0,0.0,360,4,360.0,4.0,360.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Granit Xhaka,1.0,1.0,0.0,413,5,413.0,5.0,413.0,inf,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Hakim Ziyech,1.0,1.0,0.0,293,5,293.0,5.0,293.0,inf,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Hal Robson-Kanu,1.0,1.0,0.0,160,4,160.0,4.0,160.0,inf,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
James Tarkowski,1.0,1.0,0.0,720,8,720.0,8.0,720.0,inf,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Jan Bednarek,1.0,1.0,0.0,716,8,716.0,8.0,716.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Jannik Vestergaard,1.0,1.0,0.0,540,6,540.0,6.0,540.0,inf,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Joe Bryan,1.0,1.0,0.0,189,4,189.0,4.0,189.0,inf,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Joelinton,1.0,1.0,0.0,548,8,548.0,8.0,548.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Kean Bryan,1.0,1.0,0.0,211,3,211.0,3.0,211.0,inf,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Kelechi Iheanacho,1.0,1.0,0.0,199,5,199.0,5.0,199.0,inf,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Kyle Bartley,1.0,1.0,0.0,495,6,495.0,6.0,495.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Liam Cooper,1.0,1.0,0.0,297,4,297.0,4.0,297.0,inf,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Luke Shaw,1.0,1.0,0.0,540,6,540.0,6.0,540.0,inf,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Luke Thomas,1.0,1.0,0.0,180,2,180.0,2.0,180.0,inf,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Marcos Alonso,1.0,1.0,0.0,180,2,180.0,2.0,180.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Mario Lemina,1.0,1.0,0.0,444,7,444.0,7.0,444.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Mason Mount,1.0,1.0,0.0,370,5,370.0,5.0,370.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Mateusz Klich,1.0,1.0,0.0,333,7,333.0,7.0,333.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Neal Maupay,1.0,1.0,0.0,417,7,417.0,7.0,417.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Nélson Semedo,1.0,1.0,0.0,534,6,534.0,6.0,534.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Pablo Fornals,1.0,1.0,0.0,543,7,543.0,7.0,543.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Pedro Neto,1.0,1.0,0.0,585,7,585.0,7.0,585.0,inf,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Raúl Jiménez,1.0,1.0,0.0,90,1,90.0,1.0,90.0,inf,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Rodrigo,1.0,1.0,0.0,217,5,217.0,5.0,217.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Ross Barkley,1.0,1.0,0.0,297,6,297.0,6.0,297.0,inf,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Semi Ajayi,1.0,1.0,0.0,720,8,720.0,8.0,720.0,inf,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Solly March,1.0,1.0,0.0,359,5,359.0,5.0,359.0,inf,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Steven Alzate,1.0,1.0,0.0,324,4,324.0,4.0,324.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Takumi Minamino,1.0,1.0,0.0,80,2,80.0,2.0,80.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Tomas Soucek,1.0,1.0,0.0,720,8,720.0,8.0,720.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
