player,goal_involvement(goals + assists),goals,assists,minutes_played,games_played,minutes_per_goal_involvement,games_per_goal_involvement,minutes_per_goal,games_per_assist,away_goals,home_goals,Chest,Counter attack goal,Deflected shot on goal,Direct corner,Direct free kick,Header,Left-footed shot,Long distance kick,Penalty,Penalty rebound,Right-footed shot,Solo run,Tap-in
Ademola Lookman,8.0,4.0,4.0,2756,34,344.5,4.2,689.0,8.5,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
Allan Saint-Maximin,8.0,3.0,5.0,1567,25,195.9,3.1,522.3,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
Ben Chilwell,8.0,3.0,5.0,2291,27,286.4,3.4,763.7,5.4,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
Paul Pogba,8.0,3.0,5.0,1896,26,237.0,3.2,632.0,5.2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
Bernardo Silva,8.0,2.0,6.0,2070,26,258.8,3.2,1035.0,4.3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Robertson,8.0,1.0,7.0,3386,38,423.2,4.8,3386.0,5.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Fábio Silva,7.0,4.0,3.0,1356,32,193.7,4.6,339.0,10.7,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0
Lucas Moura,7.0,3.0,4.0,1403,30,200.4,4.3,467.7,7.5,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Dwight McNeil,7.0,2.0,5.0,3072,36,438.9,5.1,1536.0,7.2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Saïd Benrahma,7.0,1.0,6.0,1388,30,198.3,4.3,1388.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
